"species","lat","lon"
"Bertholletia excelsa",-1.97264,-48.20951
"Bertholletia excelsa",-1.97285,-48.20951
"Bertholletia excelsa",-1.97328,-48.20952
"Bertholletia excelsa",-1.97314,-48.20953
"Bertholletia excelsa",-1.97321,-48.20959
"Bertholletia excelsa",-1.9735,-48.21008
"Bertholletia excelsa",-1.97343,-48.21021
"Bertholletia excelsa",-1.75958,-48.41153
"Bertholletia excelsa",-1.77401,-48.40008
"Bertholletia excelsa",-1.77385,-48.40008
"Bertholletia excelsa",-1.77374,-48.40013
"Bertholletia excelsa",-1.77357,-48.40015
"Bertholletia excelsa",-1.77349,-48.39992
"Bertholletia excelsa",-1.77342,-48.39971
"Bertholletia excelsa",-1.77282,-48.39965
"Bertholletia excelsa",-1.77217,-48.39965
"Bertholletia excelsa",-1.77248,-48.40009
"Bertholletia excelsa",-2.05327,-48.27885
"Bertholletia excelsa",-1.48821,-48.31606
"Bertholletia excelsa",-1.48805,-48.3158
"Bertholletia excelsa",-1.48834,-48.31492
"Bertholletia excelsa",-5.64329,-49.14507
"Bertholletia excelsa",-4.807,-49.36571
"Bertholletia excelsa",-4.80742,-49.36501
"Bertholletia excelsa",-4.80755,-49.365
"Bertholletia excelsa",-4.8074,-49.3649
"Bertholletia excelsa",-5.02607,-49.33356
"Bertholletia excelsa",-5.0258,-49.33441
"Bertholletia excelsa",-5.02565,-49.33426
"Bertholletia excelsa",-5.02679,-49.3336
"Bertholletia excelsa",-5.0269,-49.33362
"Bertholletia excelsa",-5.02686,-49.33354
"Bertholletia excelsa",-5.02753,-49.33437
"Bertholletia excelsa",-0.6323,-56.7812
"Bertholletia excelsa",-0.62458,-56.75997
"Bertholletia excelsa",-0.38201,-56.78751
"Bertholletia excelsa",-0.04079,-56.92338
"Bertholletia excelsa",-0.21823,-56.87567
"Bertholletia excelsa",-0.2321,-56.81899
"Bertholletia excelsa",-0.46874,-56.81899
"Bertholletia excelsa",-0.49704,-56.8042
"Bertholletia excelsa",-0.52232,-56.78663
"Bertholletia excelsa",-0.54226,-56.79636
"Bertholletia excelsa",-0.57111,-56.90207
"Bertholletia excelsa",-0.64231,-56.83784
"Bertholletia excelsa",-0.91635,-57.02247
"Bertholletia excelsa",-0.99506,-57.03099
"Bertholletia excelsa",-1.00413,-57.10264
"Bertholletia excelsa",-1.00527,-57.16231
"Bertholletia excelsa",-0.96476,-57.22239
"Bertholletia excelsa",-1.14223,-57.05361
"Bertholletia excelsa",-1.15281,-57.21351
"Bertholletia excelsa",-1.24069,-57.28437
"Bertholletia excelsa",-1.26593,-57.27678
"Bertholletia excelsa",-1.29883,-57.28533
"Bertholletia excelsa",-1.30515,-57.28108
"Bertholletia excelsa",-0.95444,-52.97
"Bertholletia excelsa",-1.5,-48.5
"Bertholletia excelsa",-5.91667,-55.67
"Bertholletia excelsa",-3.372,-50.797
"Bertholletia excelsa",-5.5,-55.5
"Bertholletia excelsa",-1.28499,-48.45552
"Bertholletia excelsa",-0.86785,-52.53972
"Bertholletia excelsa",-6.00101,-55.68912
"Bertholletia excelsa",-6.31841,-55.58635
"Bertholletia excelsa",-4.32202,-52.74163
"Bertholletia excelsa",-7.75489,-55.20363
"Bertholletia excelsa",-7.33449,-55.30638
"Bertholletia excelsa",-8.19243,-55.12475
"Bertholletia excelsa",-7.204,-52.58546
"Bertholletia excelsa",-0.88093,-52.60082
"Bertholletia excelsa",-3.95,-49.4
"Bertholletia excelsa",-4.54772,-55.91447
"Bertholletia excelsa",-6.7317,-55.47926
"Bertholletia excelsa",-5.3488,-55.91207
"Bertholletia excelsa",-8.52593,-55.10425
"Bertholletia excelsa",-4.61387,-52.63538
"Bertholletia excelsa",-1.45513,-48.50329
"Bertholletia excelsa",-9.348,-56.763
"Bertholletia excelsa",-6.67583,-51.37861
"Bertholletia excelsa",-1.4496,-48.44664
"Bertholletia excelsa",-1.05825,-46.78281
"Bertholletia excelsa",-0.95444,-52.9725
"Bertholletia excelsa",-4.00245,-53.11173
"Bertholletia excelsa",-1.91667,-54.76667
"Bertholletia excelsa",-3.53333,-52.23333
"Bertholletia excelsa",-5.36667,-49.1
"Bertholletia excelsa",-2.53333,-54.75
"Bertholletia excelsa",-1.70833,-51.52917
"Bertholletia excelsa",-1.7605,-56.43861
"Bertholletia excelsa",-1.71524,-56.36667
"Bertholletia excelsa",-1.78404,-56.53028
"Bertholletia excelsa",-1.72793,-56.44944
"Bertholletia excelsa",-1.71292,-51.41699
"Bertholletia excelsa",-1.76198,-51.43898
"Bertholletia excelsa",-1.76833,-51.44208
"Bertholletia excelsa",-1.7919,-51.44823
"Bertholletia excelsa",-5.9991,-48.39428
"Bertholletia excelsa",-6.99121,-51.71749
"Bertholletia excelsa",-7.16236,-51.61845
"Bertholletia excelsa",-7.16414,-51.54539
"Bertholletia excelsa",-7.17773,-51.62612
"Bertholletia excelsa",-7.31621,-51.74312
"Bertholletia excelsa",-7.32061,-51.74626
"Bertholletia excelsa",-7.34523,-51.77063
"Bertholletia excelsa",-7.37938,-51.79618
"Bertholletia excelsa",-7.55084,-51.87779
"Bertholletia excelsa",-7.65213,-51.85501
"Bertholletia excelsa",-7.66406,-51.85816
"Bertholletia excelsa",-7.68829,-51.85072
"Bertholletia excelsa",-7.71762,-51.86456
"Bertholletia excelsa",-7.71994,-51.84276
"Bertholletia excelsa",-7.72484,-51.92138
"Bertholletia excelsa",-7.73071,-51.88683
"Bertholletia excelsa",-7.73077,-51.88731
"Bertholletia excelsa",-7.73146,-51.881
"Bertholletia excelsa",-7.78341,-51.96216
"Bertholletia excelsa",-7.79241,-51.96107
"Bertholletia excelsa",-7.12722,-55.42861
"Bertholletia excelsa",-4.88156,-56.43975
"Bertholletia excelsa",-4.78395,-56.43165
"Bertholletia excelsa",-5.074,-55.863
"Bertholletia excelsa",-4.794,-55.617
"Bertholletia excelsa",-3.48346,-51.66668
"Bertholletia excelsa",-2.85086,-54.93262
"Bertholletia excelsa",-3.31817,-54.93858
"Bertholletia excelsa",-5.5995,-49.04308
"Bertholletia excelsa",-5.66591,-50.40853
"Bertholletia excelsa",-5.88884,-50.85809
"Bertholletia excelsa",-7.925,-51.877
"Bertholletia excelsa",-7.863,-51.928
"Bertholletia excelsa",-5.75,-49.03333
"Bertholletia excelsa",-1.50069,-50.10303
"Bertholletia excelsa",-0.31964,-51.94901
"Bertholletia excelsa",-0.31924,-51.94901
"Bertholletia excelsa",-0.31965,-51.94907
"Bertholletia excelsa",-0.32036,-51.94865
"Bertholletia excelsa",-0.32044,-51.94914
"Bertholletia excelsa",-0.32126,-51.94833
"Bertholletia excelsa",-0.32151,-51.94824
"Bertholletia excelsa",-0.3216,-51.94831
"Bertholletia excelsa",-0.32152,-51.94838
"Bertholletia excelsa",-0.32013,-51.94901
"Bertholletia excelsa",-0.32027,-51.94901
"Bertholletia excelsa",-0.3202,-51.9491
"Bertholletia excelsa",-0.32014,-51.94939
"Bertholletia excelsa",-0.32016,-51.94931
"Bertholletia excelsa",-0.32082,-51.94858
"Bertholletia excelsa",-0.32049,-51.949
"Bertholletia excelsa",-0.32064,-51.9489
"Bertholletia excelsa",-0.3216,-51.94879
"Bertholletia excelsa",-0.32134,-51.94881
"Bertholletia excelsa",-0.32084,-51.94914
"Bertholletia excelsa",-0.32084,-51.94936
"Bertholletia excelsa",-0.32071,-51.9495
"Bertholletia excelsa",-0.32044,-51.94943
"Bertholletia excelsa",-0.31996,-51.94963
"Bertholletia excelsa",-0.31998,-51.94962
"Bertholletia excelsa",-0.31997,-51.94961
"Bertholletia excelsa",-0.3198,-51.94978
"Bertholletia excelsa",-0.31982,-51.9498
"Bertholletia excelsa",-0.3185,-51.94754
"Bertholletia excelsa",-0.31996,-51.94823
"Bertholletia excelsa",-0.32027,-51.94856
"Bertholletia excelsa",-0.3197,-51.94992
"Bertholletia excelsa",-0.32217,-51.9487
"Bertholletia excelsa",-0.3209,-51.94633
"Bertholletia excelsa",-11.3,-61.9
"Bertholletia excelsa",-11.2,-55.9
"Bertholletia excelsa",-10.7,-69.5
"Bertholletia excelsa",-11,-62
"Bertholletia excelsa",-10.4,-59.5
"Bertholletia excelsa",-9.1,-68.7
"Bertholletia excelsa",-10,-67.8
"Bertholletia excelsa",-10,-67.83
"Bertholletia excelsa",-9.7,-65.5
"Bertholletia excelsa",-9.1,-63.2
"Bertholletia excelsa",-9.93,-63.07
"Bertholletia excelsa",-9.9,-63.1
"Bertholletia excelsa",-8.93,-62.09
"Bertholletia excelsa",-7.5,-63
"Bertholletia excelsa",-5.9,-55.7
"Bertholletia excelsa",-4.1,-63.1
"Bertholletia excelsa",-4.8,-52.5
"Bertholletia excelsa",-3.1,-68.2
"Bertholletia excelsa",-3.1,-68
"Bertholletia excelsa",-3.4,-64.7
"Bertholletia excelsa",-3.3,-60.6
"Bertholletia excelsa",-3.4,-60.3
"Bertholletia excelsa",-4,-49.4
"Bertholletia excelsa",-2.4,-59.7
"Bertholletia excelsa",-1.2,-60.6
"Bertholletia excelsa",-1.63,-48.9
"Bertholletia excelsa",-1.4,-48.5
"Bertholletia excelsa",-0.4,-65
"Bertholletia excelsa",-0.7,-52.5
"Bertholletia excelsa",-0.1,-51.8
"Bertholletia excelsa",0,-67.3
"Bertholletia excelsa",-3.53333,-54.86667
"Bertholletia excelsa",-2.9,-54.91667
"Bertholletia excelsa",-1.43333,-48.5
"Bertholletia excelsa",-2.16667,-48.78333
"Bertholletia excelsa",-4.13333,-50.15
"Bertholletia excelsa",-3.03333,-54.91667
"Bertholletia excelsa",-3.05,-54.91667
"Bertholletia excelsa",-3.06667,-54.91667
"Bertholletia excelsa",-3.13333,-54.93333
"Bertholletia excelsa",-3.15,-54.93333
"Bertholletia excelsa",-3.38333,-54.9
"Bertholletia excelsa",-3.76667,-49.66667
"Bertholletia excelsa",-2.8,-60.66667
"Bertholletia excelsa",1.78,-61
"Bertholletia excelsa",-11.33,-56.55
"Bertholletia excelsa",-6.52,-56.1
"Bertholletia excelsa",-11.37,-63.08
"Bertholletia excelsa",-3.03,-61.58
"Bertholletia excelsa",-3.63,-60.43
"Bertholletia excelsa",-10,-68.38
"Bertholletia excelsa",-6.83,-64.92
"Bertholletia excelsa",-3,-58
"Bertholletia excelsa",-9,-55
"Bertholletia excelsa",-9.4069,-62.0314
"Bertholletia excelsa",-9.5,-62.1667
"Bertholletia excelsa",-3.1339,-60.01
"Bertholletia excelsa",-2.75,-55
"Bertholletia excelsa",-3.1333,-59.8667
"Bertholletia excelsa",-9.7886,-66.6814
"Bertholletia excelsa",2.7022,-60.6914
"Bertholletia excelsa",-9.7911,-66.6919
"Bertholletia excelsa",-9.4,-62.0167
"Bertholletia excelsa",-2.6817,-48.2697
"Bertholletia excelsa",-2.4167,-48.1525
"Bertholletia excelsa",-3.1347,-60.0167
"Bertholletia excelsa",-2.7022,-60.6914
"Bertholletia excelsa",2.25,-60.665
"Bertholletia excelsa",-9.4125,-65.4578
"Bertholletia excelsa",-2.5167,-60.0167
"Bertholletia excelsa",-8.7614,-63.8178
"Bertholletia excelsa",-2.8917,-59.9958
"Bertholletia excelsa",-0.54909,-52.22429
"Bertholletia excelsa",-0.54892,-52.22414
"Bertholletia excelsa",-0.54894,-52.2241
"Bertholletia excelsa",-0.54882,-52.2241
"Bertholletia excelsa",-0.54888,-52.22413
"Bertholletia excelsa",-0.54881,-52.22439
"Bertholletia excelsa",-0.54893,-52.2246
"Bertholletia excelsa",-0.54866,-52.22468
"Bertholletia excelsa",-0.54871,-52.2248
"Bertholletia excelsa",-0.54919,-52.22499
"Bertholletia excelsa",-0.5492,-52.22488
"Bertholletia excelsa",-0.54929,-52.22489
"Bertholletia excelsa",-0.54934,-52.22508
"Bertholletia excelsa",-0.54931,-52.22526
"Bertholletia excelsa",-0.5495,-52.22531
"Bertholletia excelsa",-0.54954,-52.22533
"Bertholletia excelsa",-0.5496,-52.22544
"Bertholletia excelsa",-0.54951,-52.2252
"Bertholletia excelsa",-0.54959,-52.22513
"Bertholletia excelsa",-8.02007,-62.88886
"Bertholletia excelsa",-10.59495,-61.12195
"Bertholletia excelsa",-10.32318,-61.14896
"Bertholletia excelsa",-4.57921,-63.11785
"Bertholletia excelsa",-3.3614,-62.71403
"Bertholletia excelsa",-8.38904,-60.6669
"Bertholletia excelsa",-7.7586,-55.88905
"Bertholletia excelsa",-7.31672,-55.57974
"Bertholletia excelsa",-5.04946,-54.9477
"Bertholletia excelsa",-6.23179,-54.79939
"Bertholletia excelsa",-6.41582,-57.99947
"Bertholletia excelsa",-9.30145,-68.48479
"Bertholletia excelsa",-3.83591,-64.17908
"Bertholletia excelsa",-3.95127,-63.22551
"Bertholletia excelsa",-10.68145,-68.12266
"Bertholletia excelsa",-0.87793,-64.71363
"Bertholletia excelsa",-9.08075,-67.70156
"Bertholletia excelsa",-11.22011,-61.26228
"Bertholletia excelsa",-3.80729,-63.73763
"Bertholletia excelsa",-0.35376,-60.1673
"Bertholletia excelsa",-3.31619,-64.80748
"Bertholletia excelsa",-3.44409,-63.38799
"Bertholletia excelsa",-0.89354,-64.8358
"Bertholletia excelsa",-3.34452,-63.66681
"Bertholletia excelsa",-3.64552,-64.95412
"Bertholletia excelsa",-4.79856,-54.58406
"Bertholletia excelsa",-4.09922,-59.44096
"Bertholletia excelsa",-4.18836,-59.26035
"Bertholletia excelsa",-5.08004,-56.47344
"Bertholletia excelsa",-5.17016,-56.42761
"Bertholletia excelsa",-4.60062,-59.88135
"Bertholletia excelsa",-7.8897,-57.85917
"Bertholletia excelsa",-7.47252,-57.89485
"Bertholletia excelsa",-9.55686,-66.54047
"Bertholletia excelsa",-10.4382,-68.88602
"Bertholletia excelsa",-4.36674,-57.07825
"Bertholletia excelsa",-5.59762,-57.24081
"Bertholletia excelsa",-5.24568,-56.44698
"Bertholletia excelsa",-4.19334,-55.40291
"Bertholletia excelsa",0.16271,-59.74515
"Bertholletia excelsa",-0.88998,-63.01525
"Bertholletia excelsa",-0.8952,-63.29598
"Bertholletia excelsa",-1.94188,-61.87756
"Bertholletia excelsa",-1.70985,-61.96431
"Bertholletia excelsa",-10.16845,-67.8698
"Bertholletia excelsa",-9.94216,-67.63221
"Bertholletia excelsa",-8.93311,-67.24624
"Bertholletia excelsa",-2.05669,-62.11994
"Bertholletia excelsa",-8.33837,-68.3159
"Bertholletia excelsa",-8.913,-68.33939
"Bertholletia excelsa",-8.98287,-68.02906
"Bertholletia excelsa",-10.69778,-68.20832
"Bertholletia excelsa",-9.80959,-67.73452
"Bertholletia excelsa",-9.63326,-67.58834
"Bertholletia excelsa",-10,-67.83333
"Bertholletia excelsa",-9.81667,-54.86667
"Bertholletia excelsa",-1.43333,-48.43333
"Bertholletia excelsa",-9.06667,-54.9
"Bertholletia excelsa",-12.35,-55.58333
"Bertholletia excelsa",-3.08333,-59.98333
"Bertholletia excelsa",-11.26667,-55.31667
"Bertholletia excelsa",-9.4,-54.85
"Bertholletia excelsa",-11.65,-55.41667
"Bertholletia excelsa",-5.36667,-49.15
"Bertholletia excelsa",-5.15,-49.36667
"Bertholletia excelsa",-10.25,-55
"Bertholletia excelsa",-0.40315,-52.21842
